"data","precipitacao","pressao","pressaoMaxAnt","pressaoMinAnt","radiacaoGlobal","temperatura","temperaturaMaxAnt","temperaturaMinAnt","temperaturaOrvalho","temperaturaOrvalhoMaxAnt","temperaturaOrvalhoMinAnt","umidade","umidadeMaxAnt","umidadeMinAnt","ventoDir","ventoMax","ventoVel","energiaGerada"
"2020-10-12 18:00",0.0,1001.0,1001.0,1000.6,426.2,22.6,24.9,22.6,7.7,7.8,6.2,38.0,38.0,31.0,257.0,8.2,2.7,23.92,
"2020-10-12 17:00",0.0,1000.6,1000.7,1000.5,1224.5,24.9,26.6,24.9,6.6,6.9,5.4,31.0,31.0,27.0,261.0,9.5,4.9,259.19,
"2020-10-12 16:00",0.0,1000.6,1000.6,1000.5,1977.1,26.4,27.7,26.1,6.9,10.2,6.2,29.0,34.0,27.0,287.0,10.0,5.7,905.73,
"2020-10-12 15:00",0.0,1000.6,1001.2,1000.6,2600.3,27.2,27.5,26.1,10.1,10.1,8.2,34.0,35.0,30.0,274.0,11.1,4.5,1525.19,
"2020-10-01 18:00",0.0,990.3,990.3,990.0,192.5,25.0,25.7,24.9,21.2,21.6,21.2,80.0,81.0,78.0,99.0,4.0,2.6,22.74,
"2020-10-12 07:00",0.0,1003.1,1003.1,1002.4,477.4,16.0,16.0,14.5,14.2,14.2,13.4,89.0,93.0,89.0,306.0,4.5,3.2,709.60,
"2020-10-01 17:00",0.0,990.0,990.0,989.9,721.4,25.7,26.3,25.7,21.6,21.7,21.3,78.0,78.0,74.0,95.0,5.2,2.4,213.46,
"2020-10-12 06:00",0.0,1002.4,1002.4,1001.4,31.2,14.5,14.5,13.9,13.4,13.4,12.7,93.0,93.0,92.0,296.0,3.5,2.7,167.38,
"2020-10-01 16:00",0.0,989.9,990.3,989.8,969.2,26.2,26.4,25.1,21.5,21.7,21.1,75.0,81.0,74.0,88.0,5.5,3.4,621.22,
"2020-10-01 15:00",0.0,990.3,990.9,990.3,722.8,25.3,25.4,25.1,21.0,21.4,20.3,77.0,79.0,74.0,113.0,5.9,3.6,414.61,
"2020-10-12 09:00",0.0,1003.7,1003.8,1003.5,1995.8,20.1,20.6,17.7,14.0,14.5,13.7,68.0,80.0,66.0,263.0,6.1,3.5,1875.36,
"2020-10-12 08:00",0.0,1003.5,1003.5,1003.1,1242.7,17.7,17.9,16.0,13.9,14.7,13.8,78.0,89.0,77.0,284.0,5.7,3.7,1339.94,
"2020-10-12 10:00",0.0,1003.3,1003.7,1003.3,2617.1,22.9,22.9,20.1,12.5,14.8,12.3,52.0,69.0,52.0,276.0,5.6,3.0,2224.90,
"2020-10-12 14:00",0.0,1001.1,1002.0,1001.1,3017.6,26.1,27.2,26.1,8.2,10.6,8.2,32.0,36.0,32.0,284.0,10.0,6.4,1990.76,
"2020-10-12 13:00",0.0,1002.0,1002.6,1001.9,3266.0,26.5,26.8,24.4,9.8,11.3,9.0,35.0,41.0,35.0,282.0,7.4,3.9,2296.27,
"2020-10-12 12:00",0.0,1002.5,1003.0,1002.5,3283.4,25.1,25.4,23.7,9.9,11.6,8.5,38.0,45.0,37.0,271.0,8.3,4.9,2452.99,
"2020-10-12 11:00",0.0,1003.0,1003.3,1003.0,3044.5,23.7,23.7,22.4,11.0,13.0,9.5,45.0,53.0,42.0,225.0,5.8,2.3,2426.25,
"2020-10-11 18:00",0.0,1001.2,1001.2,1000.3,339.3,22.9,24.9,22.9,11.6,12.6,11.4,49.0,50.0,43.0,98.0,5.2,1.6,35.01,
"2020-10-11 17:00",0.0,1000.3,1000.7,1000.2,1182.4,24.9,26.1,24.9,11.8,12.2,9.8,44.0,45.0,37.0,52.0,5.9,2.8,280.21,
"2020-10-11 16:00",0.0,1000.7,1001.7,1000.7,1976.2,25.8,27.0,25.7,10.2,11.6,8.3,38.0,40.0,32.0,46.0,5.2,2.7,912.26,
"2020-10-11 08:00",0.0,1005.9,1006.0,1005.8,1399.2,14.2,14.5,11.7,10.8,11.3,9.8,80.0,89.0,77.0,88.0,4.8,2.4,1462.65,
"2020-10-11 07:00",0.0,1005.9,1006.0,1005.4,600.4,11.7,11.7,9.8,9.8,10.1,9.0,88.0,95.0,88.0,82.0,4.0,2.5,817.13,
"2020-10-11 06:00",0.0,1005.4,1005.4,1004.8,32.2,9.8,9.8,9.3,8.9,9.0,8.4,95.0,95.0,94.0,115.0,3.9,2.6,196.18,
"2020-10-11 09:00",0.0,1005.8,1006.2,1005.8,2163.5,17.0,17.0,14.2,11.1,11.6,10.3,68.0,81.0,68.0,80.0,5.4,2.8,2080.09,
"2020-10-11 11:00",0.0,1005.1,1005.6,1005.0,3219.4,21.7,21.7,18.6,11.8,12.5,10.9,53.0,64.0,52.0,17.0,5.0,1.8,2608.38,
"2020-10-11 10:00",0.0,1005.6,1005.8,1005.6,2794.2,18.7,18.8,16.8,11.3,12.0,10.6,62.0,69.0,61.0,94.0,5.0,2.3,2434.47,
"2020-10-11 15:00",0.0,1001.7,1002.6,1001.7,2657.3,25.9,26.5,25.0,8.0,11.3,8.0,32.0,40.0,31.0,91.0,5.2,1.1,1538.37,
"2020-10-11 14:00",0.0,1002.6,1003.6,1002.6,3146.1,25.6,25.7,23.6,10.3,13.4,8.7,38.0,49.0,35.0,161.0,4.8,1.9,2032.80,
"2020-10-11 13:00",0.0,1003.6,1004.3,1003.6,3420.0,24.8,24.9,22.5,12.3,13.4,10.3,46.0,55.0,43.0,134.0,5.1,2.1,2387.68,
"2020-10-11 12:00",0.0,1004.3,1005.1,1004.3,3420.4,23.2,23.4,21.3,12.6,13.7,10.5,51.0,56.0,49.0,75.0,4.0,1.7,2574.30,
"2020-10-14 16:00",0.0,1002.3,1002.3,1001.5,1006.0,22.8,23.3,22.7,13.9,14.9,13.3,58.0,61.0,55.0,212.0,3.0,0.8,529.35,
"2020-10-14 15:00",0.0,1001.5,1001.5,1000.9,1570.4,23.3,23.4,22.7,14.1,14.9,12.9,56.0,60.0,53.0,13.0,4.5,1.2,901.75,
"2020-10-14 14:00",0.0,1000.9,1001.7,1000.8,2291.8,22.9,23.5,22.3,14.2,14.9,12.8,58.0,61.0,53.0,142.0,5.2,2.5,402.78,
"2020-10-14 13:00",0.0,1001.7,1002.5,1001.7,3067.7,22.8,22.9,21.1,14.2,14.5,13.0,58.0,64.0,56.0,26.0,6.6,1.8,618.17,
"2020-10-02 09:00",0.4,997.1,997.3,996.5,118.8,19.6,19.9,19.6,18.5,18.7,18.4,93.0,93.0,92.0,144.0,6.1,2.2,167.32,
